item_id,seller,ships_to,ships_from,category,first_seen,last_seen
35dfed5574,6a331d36c0,Worldwide,undeclared,122,1328245275,1343111718
22ab382305,6a331d36c0,Worldwide,undeclared,122,1328242190,1343120230
857c681b0b,6a331d36c0,Worldwide,undeclared,122,1328242190,1343111924
968793674a,b19ad045c2,Worldwide,Canada,70,1328241659,1331004817
afce2bc194,b19ad045c2,Worldwide,Canada,92,1328239771,1331004806
4ca5cfcf72,7ba5229777,Worldwide,Germany,70,1328241681,1330999610
66217ab06b,da60883651,Worldwide,Canada,22,1328240700,1333959224
c4f4bb01c2,6a331d36c0,Worldwide,undeclared,122,1328242155,1343120816
6ff9e8ebff,6a331d36c0,Worldwide,undeclared,122,1328245275,1343098963
3e2eb4e595,6a331d36c0,Worldwide,undeclared,122,1328242190,1343120229
34ec10d28d,6a331d36c0,Worldwide,undeclared,122,1328242181,1343098917
0d53224b48,6a331d36c0,Worldwide,undeclared,122,1328242155,1343111726
c75b367440,6a331d36c0,Worldwide,undeclared,122,1328242190,1343120227
7b231daaed,6a331d36c0,Worldwide,undeclared,122,1328242190,1343120225
6e4a2cc36e,6a331d36c0,Worldwide,undeclared,122,1328242098,1343120614
15d0a3a176,b19ad045c2,Worldwide,Canada,147,1328241576,1331004795
c27f9327a9,6a331d36c0,Worldwide,undeclared,122,1328242190,1343111810
7a68775d26,b19ad045c2,Worldwide,Canada,147,1328236769,1331000377
bb25a24039,0870c02e47,"United States of America","United States of America",22,1328243961,1328243961
36a7ca697d,6a331d36c0,Worldwide,undeclared,98,1328242512,1343113623
c4564a47c2,6a331d36c0,Worldwide,undeclared,93,1328242225,1343112954
2000b7236b,6a331d36c0,Worldwide,undeclared,122,1328242183,1343120208
ea1b851d90,1718351d28,Worldwide,Netherlands,168,1328242025,1335340103
d7322efd5f,7544e70c1d,"United States of America","United States of America",51,1328241334,1331036411
8a33db8845,7544e70c1d,"United States of America","United States of America",51,1328239314,1331039120
9b178b30a3,7544e70c1d,"United States of America","United States of America",51,1328241298,1331036405
37e20626b1,2d20378616,Worldwide,undeclared,129,1328242651,1343113203
bb0793640e,2d20378616,Worldwide,undeclared,129,1328238743,1343111105
80c3497d6c,2d20378616,Worldwide,undeclared,129,1328242655,1343101124
c9c3fbceef,df1a721758,"USA and Canada","United States of America",51,1328239071,1343122985
503121ab23,6a331d36c0,Worldwide,undeclared,93,1328242225,1343112941
169a42ded6,6a331d36c0,Worldwide,undeclared,122,1328242179,1343111638
51a069d738,6a331d36c0,Worldwide,undeclared,150,1328242372,1343113423
acb34091a5,4ede778164,Worldwide,Spain,22,1328243940,1330931076
96cd8daa93,4ede778164,Worldwide,Spain,22,1328240735,1341894841
67a3fe6699,e5e9c21007,"EU, CH, and NO",Germany,22,1328240739,1336632832
01b26e3344,e5e9c21007,"EU, CH, and NO",Germany,23,1328243755,1336638824
48f04eb0d6,e5e9c21007,"EU, CH, and NO",Germany,22,1328243929,1336639016
a85a83e786,e5e9c21007,"EU, CH, and NO",undeclared,22,1328244018,1336639180
e33a592fbc,e5e9c21007,"EU, CH, and NO",Germany,22,1328240634,1336624184
9b28670cb8,88c806953f,Worldwide,"United States of America",97,1328244334,1343116809
83f8e387b9,06710a7eab,"United Kingdom","United Kingdom",22,1328244196,1333348914
7a8145cb6d,125fdac028,"United States of America",undeclared,1,1328246266,1332834985
8c35cfc01d,dd4acbbbc5,"European Union","United Kingdom",92,1328241555,1331021980
42a5928705,dd4acbbbc5,"European Union","United Kingdom",92,1328241547,1331004660
60313cbc22,dd4acbbbc5,Worldwide,"United Kingdom",92,1328244646,1330051644
0926b18ca8,125fdac028,US,Anywhere,1,1328246266,1332822064
3bb5e278c6,7070d9193a,"EU, CH, and NO",Switzerland,129,1328239610,1343093844
de01253cd1,2550aaf15d,"World Wide","World Wide",94,1328242588,1328245662
b38fb6a4e8,2550aaf15d,"World Wide","World Wide",79,1328242010,1328932687
58ddfb1430,125fdac028,"United States of America",undeclared,1,1328246266,1332822051
b19a4505fe,7ba5229777,Worldwide,Germany,63,1328240026,1330461964
7f91b6beac,7ba5229777,Worldwide,Germany,63,1328240077,1330999607
a62e14a557,7ba5229777,Worldwide,Germany,70,1328241681,1331780680
bc566f68b8,7ba5229777,Worldwide,Germany,63,1328240062,1337311482
3f6c803d5a,7ba5229777,Worldwide,Germany,63,1328240036,1337654838
6ea76a2707,125fdac028,US,Anywhere,1,1328246266,1332822046
e24d7cf9ab,426e26eb14,Worldwide,"United Kingdom",63,1328239980,1340417461
aa565c9ca8,88c806953f,Worldwide,"United States of America",97,1328241247,1343092317
fe4759d773,88c806953f,Worldwide,"United States of America",47,1328241852,1343116541
ef011f3591,88c806953f,Worldwide,"United States of America",97,1328244334,1343092316
a29d0d1143,7ba5229777,Worldwide,Germany,56,1328241681,1328241681
2668ad1368,d0fb902a37,Worldwide,"United States of America",48,1328241439,1329715939
6eee31e1bf,7ba5229777,Worldwide,Germany,70,1328241681,1331780678
5244e80486,7ba5229777,Worldwide,Germany,63,1328240069,1336693645
0a8df3e0fc,d1295b4123,Worldwide,undeclared,94,1328238643,1342668256
2942d982fd,7c1ca8ce36,Worldwide,undeclared,56,1328241016,1343097419
619723527b,125fdac028,US,Anywhere,1,1328246266,1332822044
31f1e239db,7c1ca8ce36,Worldwide,undeclared,51,1328241471,1343092128
bb169edb9d,375abbb5f7,undeclared,undeclared,94,1328242588,1328419045
722efa8718,f74fa5e94b,Worldwide,"United States of America",147,1328241576,1341968909
abce58b54c,4ede778164,Worldwide,Spain,23,1328240594,1343130616
d80bfd05fc,d4f1cc91c8,Worldwide,undeclared,56,1328244972,1332994489
2db65bacaf,6a331d36c0,Worldwide,undeclared,70,1328247656,1343120245
8aa2ce98f0,1e0f977b89,"United States of America","United States of America",28,1328242908,1342936897
f88a5ac859,8e65664d8d,"United States of America","United States of America",92,1328241417,1337913029
df8d4eb665,7070d9193a,"EU, CH, and NO",Switzerland,56,1328239610,1333934858
4c449b8088,8a2fe96adf,Worldwide,undeclared,122,1328242093,1328330839
af7c892c9c,8a2fe96adf,Worldwide,undeclared,93,1328242222,1328331155
a024330ebb,8e65664d8d,"United States of America","United States of America",92,1328241417,1337913028
e23a7548bc,8e65664d8d,"United States of America","United States of America",92,1328241417,1337913026
51f176bf56,e5e9c21007,Worldwide,undeclared,98,1328240634,1336624184
d46c67f124,e5e9c21007,Worldwide,undeclared,98,1328238431,1329959760
1d98853047,6a331d36c0,Worldwide,undeclared,150,1328242385,1343113425
89bd8718e4,7c1ca8ce36,Worldwide,undeclared,56,1328244273,1343092130
b5bb6738ea,5eda5e1e3b,Worldwide,"United Kingdom",144,1328239918,1343108851
0560b66d94,5eda5e1e3b,"EU, USA, and Canada","United Kingdom",144,1328239920,1343108849
1d1cf51585,84935397f2,Worldwide,US,70,1328247319,1335862774
bcb2231971,c14f03ec43,Worldwide,"United States of America",51,1328241397,1343117141
9bd0687e26,c14f03ec43,Worldwide,"United States of America",51,1328241289,1343093315
a7223d15f1,7ba5229777,"European Union",Germany,107,1328238672,1330220597
11bf082718,8b54c215a6,Worldwide,"United States of America",56,1328244972,1343106241
37f52c9671,8b54c215a6,Worldwide,"United States of America",56,1328241930,1343097417
9e7430261c,587acad776,Worldwide,EU,70,1328244305,1331964104
8f1b65fab2,587acad776,Worldwide,EU,70,1328244305,1331964104
a5407529ed,587acad776,Worldwide,EU,70,1328244305,1331964104
dbb4cf96f4,2d20378616,Worldwide,undeclared,129,1328238741,1335068535
d8a1978a6b,7070d9193a,Worldwide,Switzerland,65,1328239610,1343085456
d4cde7e3f3,7070d9193a,Worldwide,Switzerland,65,1328239610,1343085451
a4b441c255,7070d9193a,"EU, CH, and NO",Switzerland,129,1328239610,1343093841
d501e5cd35,88c806953f,Worldwide,"United States of America",94,1328242585,1328594381
39d3920559,c058f1dea7,"United States of America","United States of America",47,1328244781,1330321414
b15ea34d41,7070d9193a,Worldwide,Switzerland,23,1328239597,1342768706
c19bebf205,7070d9193a,"EU, CH, and NO",Switzerland,23,1328243329,1343115022
8c2b26f0e9,f24672929d,Worldwide,"United Kingdom",94,1328238615,1343088834
f3370a51c4,f24672929d,Worldwide,"United Kingdom",120,1328242363,1343087879
cd8b7bfbf0,5eda5e1e3b,"EU, USA, and Canada","United Kingdom",144,1328239918,1343094251
fedbd3d9a3,5eda5e1e3b,Worldwide,UK,144,1328239920,1343108848
5841530898,7070d9193a,Worldwide,Switzerland,129,1328239615,1343093838
4c1d2a676a,88c806953f,"United States of America","United States of America",92,1328241219,1336280548
1636a435e2,fd53026c31,"United States of America","United States of America",63,1328239928,1328589293
5628b156ed,2d13e9120b,"United States of America","United States of America",22,1328243939,1343115935
da8e8d6f0f,2d13e9120b,"United States of America","United States of America",22,1328240738,1341729626
d94f9a4a2a,2d13e9120b,"United States of America","United States of America",22,1328240673,1343123407
710182ddff,2d13e9120b,"United States of America","United States of America",22,1328243929,1335339483
0676f2fbbc,2d13e9120b,"United States of America","United States of America",22,1328244050,1341643538
09c821212f,2d20378616,Worldwide,undeclared,129,1328238736,1343113220
82de2bcfcf,8e0e0fdcf0,"United States of America","United States of America",22,1328246328,1335862910
